Category,Sub Category,Top Brand,Brand Name,Brand Count
Clothing  Shoes & Jewelry,Men,NO,Bugatchi,505,
Clothing  Shoes & Jewelry,Men,NO,Buttoned Down,21,
Clothing  Shoes & Jewelry,Men,NO,Buxton,1,
Clothing  Shoes & Jewelry,Men,NO,CADET Clothing,29,
Clothing  Shoes & Jewelry,Men,NO,Calibre,5,
Clothing  Shoes & Jewelry,Men,NO,Callaway,23,
Clothing  Shoes & Jewelry,Men,NO,Calvin Klein,1547,
Clothing  Shoes & Jewelry,Men,NO,Camper,4,
Clothing  Shoes & Jewelry,Men,NO,Capezio,8,
Clothing  Shoes & Jewelry,Men,NO,Casio,38,
Clothing  Shoes & Jewelry,Men,NO,Chaco,2,
Clothing  Shoes & Jewelry,Men,NO,Champion,296,
Clothing  Shoes & Jewelry,Men,NO,Charles-Hubert  Paris,1,
Clothing  Shoes & Jewelry,Men,NO,Citizen,3,
Clothing  Shoes & Jewelry,Men,NO,CLARKS,50,
Clothing  Shoes & Jewelry,Men,NO,claude bernard,23,
Clothing  Shoes & Jewelry,Men,NO,Cole Haan,92,
Clothing  Shoes & Jewelry,Men,NO,Columbia,1064,
Clothing  Shoes & Jewelry,Men,NO,Converse,1,
Clothing  Shoes & Jewelry,Men,NO,Costa Del Mar,3,
Clothing  Shoes & Jewelry,Men,NO,crocs,2,
Clothing  Shoes & Jewelry,Men,NO,Cubavera,256,
Clothing  Shoes & Jewelry,Men,NO,Cutter & Buck,253,
Clothing  Shoes & Jewelry,Men,NO,Daniel Buchler,51,
Clothing  Shoes & Jewelry,Men,NO,Dansko,1,
Clothing  Shoes & Jewelry,Men,NO,David Hart,19,
Clothing  Shoes & Jewelry,Men,NO,DC Comics,6,
Clothing  Shoes & Jewelry,Men,NO,Deer Stags,3,
Clothing  Shoes & Jewelry,Men,NO,Derek Rose,73,
Clothing  Shoes & Jewelry,Men,NO,Desigual,1,
Clothing  Shoes & Jewelry,Men,NO,Despicable Me,2,
Clothing  Shoes & Jewelry,Men,NO,Dickies,1,
Clothing  Shoes & Jewelry,Men,NO,Diesel,423,
Clothing  Shoes & Jewelry,Men,NO,Disney,85,
Clothing  Shoes & Jewelry,Men,NO,DKNY,44,
